"TypeNatureCode_ID","Description","ID_911","Category","NEMSIS"
379,"PDX - BU3 - BURNS 1ST RESPONSE                    ","ABU3    ",3,"430 "
380,"PDX - BU9 - BURNS FIRE ONLY                       ","ABU9    ",3,"430 "
381,"PDX - CARBON MONOXIDE ALARM                       ","ACARBO  ",4,"-25 "
382,"PDX - CAVEIN - BLDG/TRENCH/NATURAL DISASTER       ","ACAVEI  ",10,"505 "
383,"PDX - COMMERCIAL FIRE                             ","ACFIRE  ",1,"-25 "
384,"PDX - CH1 - CHEST PAIN 1ST RESPONSE               ","ACH1    ",3,"445 "
385,"PDX - CH9 - CHEST PAINS FIRE ONLY                 ","ACH9    ",3,"445 "
386,"PDX - CHIMNEY FIRE                                ","ACHIM   ",1,"-25 "
387,"PDX - COLD FIRE                                   ","ACOLD   ",1,"-25 "
388,"PDX -- CONFINED SPACE RESCUE                      ","ACONFS  ",10,"505 "
389,"PDX - DI3 - DIABETIC 1ST RESPONSE                 ","ADI3    ",3,"460 "
390,"PDX - DI9 - DIABETIC FIRE ONLY                    ","ADI9    ",3,"460 "
391,"PDX - DIVE INCIDENT (BALANCE ONLY)                ","ADIVE   ",3,"-25 "
392,"PDX - DR1 - DROWNING 1ST RESPONSE                 ","ADR1    ",3,"465 "
393,"PDX - DR9 - DROWNING FIRE ONLY                    ","ADR9    ",3,"465 "
394,"PDX - DUMPSTER/GARBAGE CAN/TRASH FIRE             ","ADUMP   ",1,"-25 "
395,"PDX - EL1 - ELECTROCUTION 1ST RESPONSE            ","AEL1    ",3,"470 "
396,"PDX - EL9 - ELECTROCUTION FIRE ONLY               ","AEL9    ",3,"470 "
397,"PDX - ELECTRICAL PROBLEM - STRUCTURE              ","AELEC   ",1,"-25 "
398,"PDX - ELEVATOR RESCUE                             ","AELEV   ",10,"505 "
399,"PDX - EY3 - EYE 1ST RESPONSE (                    ","AEY3    ",3,"475 "
400,"PDX - EY9 - EYE FIRE ONLY                         ","AEY9    ",3,"475 "
401,"PDX - FIRE TEST CODE                              ","AFTEST  ",13,"-25 "
402,"PDX - FURNACE PROBLEM                             ","AFURN   ",1,"-25 "
403,"PDX - NATURAL GAS ODOR / INVESTIGATION            ","AGASIN  ",4,"-25 "
404,"PDX -NATURAL GAS FIRE OR MAJOR LEAK               ","AGASMA  ",4,"-25 "
405,"PDX - GRASS, BARKDUST, TREE                       ","AGRASS  ",1,"-25 "
406,"PDX - HC1 - HEAT/COLD 1ST RESPONSE                ","AHC1    ",3,"495 "
407,"PDX - HC9 - HEAT/COLD FIRE ONLY                   ","AHC9    ",3,"495 "
408,"PDX - HE3 - HEADACHE 1ST RESPONSE                 ","AHE3    ",3,"485 "
409,"PDX - HE9 - HEADACHE FIRE ONLY                    ","AHE9    ",3,"485 "
410,"PDX - HAZMAT LEVEL 2 WITH UP TO 2 VICTIMS         ","AHMII   ",4,"-25 "
411,"PDX - HAZMATLEVEL 3 WITH 3+ VICTIMS               ","AHMIII  ",4,"-25 "
412,"PDX - HAZMAT LEVEL 1 WITH NO FIRE/INJURY          ","AHMINV  ",4,"-25 "
413,"PDX - ILLEGAL BURNING                             ","AILBUR  ",5,"-25 "
414,"PDX - INFORMATION ONLY                            ","AINFOF  ",14,"-25 "
415,"PDX - FIRE INVESTIGATION                          ","AINVES  ",9,"-25 "
416,"PDX - POTENTIAL JUMPER ON A BRIDGE OVER WATER     ","AJUMP   ",3,"480 "
417,"PDX - LOCK IN/OUT                                 ","ALOCK   ",5,"-25 "
418,"PDX - MASS CASUALTY INCIDENT                      ","AMCI    ",3,"564 "
419,"PDX - UNKNOWN TYPE OF FIRE PROBLEM                ","AMISCF  ",1,"-25 "
420,"PDX - MUTUAL AID INCIDENT                         ","AMUTUA  ",0,"-25 "
421,"PDX - OB1 - PREGNANCY 1ST RESPONSE                ","AOB1    ",3,"515 "
422,"PDX - OB3 - PREGNANCY 1ST RESPONSE                ","AOB3    ",3,"515 "
423,"PDX - OB9 - PREGNANCY FIRE ONLY                   ","AOB9    ",3,"515 "
424,"PDX - OD1 - OVERDOSE 1ST RESPONSE                 ","AOD1    ",3,"510 "
425,"PDX - OD3 - OVERDOSE 1ST RESPONSE                 ","AOD3    ",3,"510 "
426,"PDX - OD9 - OVERDOSE FIRE ONLY                    ","AOD9    ",3,"510 "
427,"PDX - ODOR/SMELL WITH NO SMOKE VISIBLE            ","AODOR   ",5,"-25 "
428,"PDX - POLICE REQUEST                              ","APOLRE  ",5,"-25 "
429,"PDX - POWER LINE OR POLE DOWN OR ARCING           ","APOWER  ",1,"-25 "
430,"PDX - PUBLIC ASSIST                               ","APUBAS  ",5,"-25 "
431,"PDX - RAILROAD DERAILMENT OR FIRE                 ","ARAIL   ",4,"-25 "
432,"PDX - RESIDENTIAL FIRE (HOUSE OR DUPLEX)          ","ARFIRE  ",1,"-25 "
433,"PDX - RIVER INCIDENT                              ","ARIVER  ",5,"-25 "
434,"PDX - HIGH ANGLE ROPE  RESCUE                     ","AROPE   ",10,"-25 "
435,"PDX - SHIP FIRE                                   ","ASHIP   ",1,"-25 "
436,"PDX - SK3 - SICK 1ST RESPONSE                     ","ASK3    ",3,"525 "
437,"PDX - SK9 - SICK FIRE ONLY                        ","ASK9    ",3,"525 "
438,"PDX - SMOKE INVESTIGATION AREA OUTSIDE A STRUCTURE","ASMOKA  ",6,"-25 "
439,"PDX - SMOKE INVESTIGATION INSIDE A STRUCTURE      ","ASMOKS  ",6,"-25 "
440,"PDX - ST3 - STROKE 1ST RESPONSE                   ","AST3    ",3,"535 "
441,"PDX - ST9 - STROKE FIRE ONLY                      ","AST9    ",3,"535 "
442,"PDX - SUBSTATION OR ELECTRICAL VALUT              ","ASUBSTA ",1,"535 "
443,"PDX - SZ3 - SEIZURE 1ST RESPONSE                  ","ASZ3    ",3,"455 "
444,"PDX - SZ9 - SEIZURE FIRE ONLY                     ","ASZ9    ",3,"455 "
445,"PDX - TA1 - TRAFFIC ACCIDENT 1ST RESPONSE         ","ATA1    ",3,"540 "
446,"PDX - TA1MAX - TRAFFIC ACCIDENT MAX TRAIN INVOLVED","ATA1MA  ",3,"540 "
447,"PDX - TA1P - TRAFFIC ACCIDENT - PIN IN            ","ATA1P   ",3,"540 "
448,"PDX - TA1PED - TRAFFIC ACCIDENT PEDESTRIAN OR BIKE","ATA1PE  ",3,"540 "
449,"PDX - TA1 - TRAFFIC ACCIDENT - ROLL OVER          ","ATA1R   ",3,"540 "
450,"PDX - TA9 - TRAFFIC ACCIDENT - FIRE ONLY          ","ATA9    ",3,"540 "
451,"PDX - TR1 - TRAUMA 1ST RESPONSE                   ","ATR1    ",3,"545 "
452,"PDX - TR1P - TRAUMA VICTIM(S)PINNED               ","ATR1P   ",3,"545 "
453,"PDX - TR3 - TRAUMA 1ST RESPONSE                   ","ATR3    ",3,"545 "
454,"PDX - TR9 - TRAUMA FIRE ONLY                      ","ATR9    ",3,"545 "
455,"PDX - TAZER 1ST RESPONSE                          ","ATZ3    ",3,"470 "
456,"PDX - TAZER CODE 1 FIRE ONLY                      ","ATZ9    ",3,"470 "
457,"PDX - UK3 - UNKNOWN 1ST RESPONSE                  ","AUK3    ",3,"-25 "
458,"PDX - UK9 - UNKNOWN FIRE ONLY                     ","AUK9    ",3,"-25 "
459,"PDX - UN1 - UNCONCIOUS 1ST RESPONSE               ","AUN1    ",3,"550 "
460,"PDX - UN3 - UNCONCIOUS 1ST RESPONSE               ","AUN3    ",3,"550 "
461,"PDX - UN9 - UNCONCIOUS FIRE ONLY                  ","AUN9    ",3,"550 "
462,"PDX - VEHICLE, TRAILER FIRE                       ","AVFIRE  ",1,"-25 "
463,"PDX - WATER PROBLEM                               ","AWATER  ",5,"-25 "
464,"PDX -WATER RESCUE                                 ","AWATRE  ",3,"-25 "
465,"PDX - WILDLAND (OVER 100'x100')                   ","AWILDF  ",1,"-25 "
466,"AIRCRAFT EMERGENCY - ALERT LEVEL 1 (PDX REQUEST)  ","PALRT1  ",4,"-25 "
467,"AIRCRAFT EMERGENCY - ALERT LEVEL 2 (PDX REQUEST)  ","PALRT2  ",4,"-25 "
468,"AIRCRAFT EMERGENCY - ALERT LEVEL 3 (PDX REQUEST)  ","PALRT3  ",4,"-25 "
469,"AIRCRAFT EMERGENCY GROUND - PDX REQUEST ONLY      ","PGRND   ",4,"-25 "
470,"SPILL ON AIRFIELD (PDX REQUEST)                   ","PSPILL  ",4,"-25 "
471,"MARINE - RIVER INCIDENT                           ","RIVFIR  ",3,"-25 "
472,"MARINE - WATER RESCUE *H                          ","WATERES ",3,"-25 "
473,"TRAF ACC/FIRE ONLY                                ","MVAUNK  ",3,"540 "
474,"FIREWORKS RELATED (DISPATCH ONLY)                 ","FWORK   ",3,"-25 "
475,"MUTUAL AID FIRE                                   ","MUTFIR  ",0,"-25 "
476,"LIFT ASSIST                                       ","LIFT    ",5,"-25 "
477,"SICK/1ST RESP                                     ","SK1     ",3,"525 "
478,"BARN FIRE                                         ","BARN    ",1,"-25 "
479,"CPR                                               ","CPR     ",3,"550 "
480,"ALLERGIES/1ST RESP                                ","AL1     ",3,"405 "
481,"BURNS/1ST RESP                                    ","BU1     ",3,"430 "
482,"DIABETIC/1ST RESP                                 ","DI1     ",3,"460 "
483,"SEIZURE/1ST RESP                                  ","SZ1     ",3,"455 "
484,"PDX - CH3 - CHEST 1ST RESPONSE                    ","ACH3    ",3,"445 "
485,"PDX - SZ1 - SEIZURE 1ST RESPONSE                  ","ASZ1    ",3,"455 "
486,"PDX - DRILL                                       ","ADRILL  ",11,"-25 "
494,"COOL                                              ","COOL    ",5,"-25 "
